Dublin_Postcodes,SubCat,Year,Propery_Size,S_Location,Location,RegionFilter,Status,Values_,ObjectId
County,Annual Change,2022,a. All bedrooms,z. Cavan,Cavan,Northern & Western,County,14.1,8
County,Rent Price,2022,a. All bedrooms,z. Cavan,Cavan,Northern & Western,County,802.23,9
County,Annual Change,2022,a. All bedrooms,zq. Cork,Cork,Southern,County,6.6,31
County,Rent Price,2022,a. All bedrooms,zq. Cork,Cork,Southern,County,1258.81,34
County,Annual Change,2022,a. All bedrooms,zj. Clare,Clare,Southern,County,11.3,66
County,Rent Price,2022,a. All bedrooms,zj. Clare,Clare,Southern,County,901.03,68
County,Annual Change,2022,a. All bedrooms,zr. Cork City,Cork City,Southern,County,5.9,89
County,Rent Price,2022,e. Four plus bed,zr. Cork City,Cork City,Southern,County,1908.03,10076
County,Annual Change,2022,a. All bedrooms,za. Donegal,Donegal,Northern & Western,County,14.2,123
County,Rent Price,2022,a. All bedrooms,za. Donegal,Donegal,Northern & Western,County,718.71,124
County,Annual Change,2022,a. All bedrooms,zm. Carlow,Carlow,Southern,County,10.4,177
County,Rent Price,2022,a. All bedrooms,zm. Carlow,Carlow,Southern,County,1031.92,178
County,Annual Change,2022,a. All bedrooms,m. Dublin,Dublin,Eastern & Midland,County,5.1,201
County,Rent Price,2022,a. All bedrooms,m. Dublin,Dublin,Eastern & Midland,County,1873.88,202
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 1,Dublin 1,Eastern & Midland,County,0,230
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 1,Dublin 1,Eastern & Midland,County,0,231
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 4,Dublin 4,Eastern & Midland,County,0,267
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 4,Dublin 4,Eastern & Midland,County,0,268
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 5,Dublin 5,Eastern & Midland,County,0,296
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 5,Dublin 5,Eastern & Midland,County,0,297
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 6,Dublin 6,Eastern & Midland,County,0,325
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 6,Dublin 6,Eastern & Midland,County,0,326
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 2,Dublin 2,Eastern & Midland,County,0,359
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 2,Dublin 2,Eastern & Midland,County,0,360
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 3,Dublin 3,Eastern & Midland,County,0,388
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 3,Dublin 3,Eastern & Midland,County,0,389
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 10,Dublin 10,Eastern & Midland,County,0,421
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 10,Dublin 10,Eastern & Midland,County,0,423
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 6W,Dublin 6W,Eastern & Midland,County,0,425
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 6W,Dublin 6W,Eastern & Midland,County,0,427
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 7,Dublin 7,Eastern & Midland,County,0,456
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 7,Dublin 7,Eastern & Midland,County,0,457
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 13,Dublin 13,Eastern & Midland,County,0,495
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 13,Dublin 13,Eastern & Midland,County,0,498
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 14,Dublin 14,Eastern & Midland,County,0,530
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 14,Dublin 14,Eastern & Midland,County,0,531
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 11,Dublin 11,Eastern & Midland,County,0,560
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 11,Dublin 11,Eastern & Midland,County,0,561
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 17,Dublin 17,Eastern & Midland,County,0,573
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 17,Dublin 17,Eastern & Midland,County,0,574
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 18,Dublin 18,Eastern & Midland,County,0,602
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 18,Dublin 18,Eastern & Midland,County,0,603
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 20,Dublin 20,Eastern & Midland,County,0,631
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 20,Dublin 20,Eastern & Midland,County,0,632
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 12,Dublin 12,Eastern & Midland,County,0,678
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 12,Dublin 12,Eastern & Midland,County,0,679
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 8,Dublin 8,Eastern & Midland,County,0,722
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 8,Dublin 8,Eastern & Midland,County,0,724
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 15,Dublin 15,Eastern & Midland,County,0,731
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 15,Dublin 15,Eastern & Midland,County,0,733
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 16,Dublin 16,Eastern & Midland,County,0,761
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 16,Dublin 16,Eastern & Midland,County,0,762
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 9,Dublin 9,Eastern & Midland,County,0,791
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 9,Dublin 9,Eastern & Midland,County,0,792
County,Rent Price,2022,a. All bedrooms,zh. Mayo,Mayo,Northern & Western,County,832.9,801
County,Annual Change,2022,a. All bedrooms,s. Meath,Meath,Eastern & Midland,County,4.1,832
County,Rent Price,2022,a. All bedrooms,s. Meath,Meath,Eastern & Midland,County,1294.32,833
D_Postcodes,Annual Change,2022,a. All bedrooms,Dublin 24,Dublin 24,Eastern & Midland,County,0,866
D_Postcodes,Rent Price,2022,a. All bedrooms,Dublin 24,Dublin 24,Eastern & Midland,County,0,867
County,Annual Change,2022,a. All bedrooms,ze. Galway,Galway,Northern & Western,County,8.5,895
County,Rent Price,2022,a. All bedrooms,ze. Galway,Galway,Northern & Western,County,1305.71,896
County,Annual Change,2022,a. All bedrooms,r. Kildare,Kildare,Eastern & Midland,County,4.8,930
County,Rent Price,2022,a. All bedrooms,r. Kildare,Kildare,Eastern & Midland,County,1415.48,931
County,Annual Change,2022,a. All bedrooms,zc. Monaghan,Monaghan,Northern & Western,County,10.7,962
County,Rent Price,2022,a. All bedrooms,zc. Monaghan,Monaghan,Northern & Western,County,772.09,963
County,Annual Change,2022,a. All bedrooms,xy. Offaly,Offaly,Eastern & Midland,County,10.5,991
County,Rent Price,2022,a. All bedrooms,xy. Offaly,Offaly,Eastern & Midland,County,943.65,992
County,Annual Change,2022,a. All bedrooms,zf. Galway City,Galway City,Northern & Western,County,9.1,1021
County,Rent Price,2022,a. All bedrooms,zf. Galway City,Galway City,Northern & Western,County,1477.33,1022
County,Annual Change,2022,a. All bedrooms,zt. Kerry,Kerry,Southern,County,11.2,1050
County,Rent Price,2022,a. All bedrooms,zt. Kerry,Kerry,Southern,County,906.1,1051
County,Annual Change,2022,a. All bedrooms,u. Louth,Louth,Eastern & Midland,County,5,1075
County,Rent Price,2022,a. All bedrooms,u. Louth,Louth,Eastern & Midland,County,1175.15,1076
County,Annual Change,2022,a. All bedrooms,zh. Mayo,Mayo,Northern & Western,County,13.6,1104
County,Annual Change,2022,a. All bedrooms,zn. Kilkenny,Kilkenny,Southern,County,8.6,1107
County,Rent Price,2022,a. All bedrooms,zn. Kilkenny,Kilkenny,Southern,County,951.11,1108
County,Annual Change,2022,a. All bedrooms,zk. Limerick,Limerick,Southern,County,11.5,1136
County,Rent Price,2022,a. All bedrooms,zk. Limerick,Limerick,Southern,County,1211.08,1137
County,Annual Change,2022,a. All bedrooms,zkk. Limerick City,Limerick City,Southern,County,12.1,1163
County,Rent Price,2022,a. All bedrooms,zkk. Limerick City,Limerick City,Southern,County,1290.52,1164
County,Annual Change,2022,a. All bedrooms,w. Longford,Longford,Eastern & Midland,County,13.7,1192
County,Rent Price,2022,a. All bedrooms,w. Longford,Longford,Eastern & Midland,County,798.72,1193
County,Annual Change,2022,a. All bedrooms,Ennis,Ennis,Southern,Settlement,11.6,1216
County,Annual Change,2022,a. All bedrooms,zo. Waterford,Waterford,Southern,County,11.1,1218
County,Rent Price,2022,a. All bedrooms,Ennis,Ennis,Southern,Settlement,912.65,1220
County,Rent Price,2022,a. All bedrooms,zo. Waterford,Waterford,Southern,County,994.3,1225
County,Annual Change,2022,a. All bedrooms,zoo. Waterford City,Waterford City,Southern,County,12.2,1253
County,Rent Price,2022,a. All bedrooms,zoo. Waterford City,Waterford City,Southern,County,1055.65,1254
County,Annual Change,2022,a. All bedrooms,Mallow,Mallow,Southern,Settlement,4.6,1314
County,Rent Price,2022,a. All bedrooms,Mallow,Mallow,Southern,Settlement,1010.85,1315
County,Annual Change,2022,a. All bedrooms,Letterkenny,Letterkenny,Northern & Western,Settlement,14.3,1343
County,Rent Price,2022,a. All bedrooms,Letterkenny,Letterkenny,Northern & Western,Settlement,805.46,1344
County,Annual Change,2022,a. All bedrooms,y. Westmeath,Westmeath,Eastern & Midland,County,10.2,1375
County,Annual Change,2022,a. All bedrooms,t. Wicklow,Wicklow,Eastern & Midland,County,3.7,1376
County,Annual Change,2022,a. All bedrooms,zi. Roscommon,Roscommon,Northern & Western,County,13.3,1379
County,Rent Price,2022,a. All bedrooms,y. Westmeath,Westmeath,Eastern & Midland,County,1003.82,1380
County,Rent Price,2022,a. All bedrooms,t. Wicklow,Wicklow,Eastern & Midland,County,1429.17,1381
County,Rent Price,2022,a. All bedrooms,zi. Roscommon,Roscommon,Northern & Western,County,818.05,1384
County,Annual Change,2022,a. All bedrooms,Cavan Town,Cavan Town,Northern & Western,Settlement,18.1,1398
County,Rent Price,2022,a. All bedrooms,Cavan Town,Cavan Town,Northern & Western,Settlement,890.39,1399
County,Annual Change,2022,a. All bedrooms,zd. Sligo,Sligo,Northern & Western,County,11.5,1453
County,Rent Price,2022,a. All bedrooms,zd. Sligo,Sligo,Northern & Western,County,891.9,1454
County,Annual Change,2022,a. All bedrooms,zl. Tipperary,Tipperary,Southern,County,10.6,1478
County,Rent Price,2022,a. All bedrooms,zl. Tipperary,Tipperary,Southern,County,826.94,1479
County,Annual Change,2022,a. All bedrooms,Carlow Town,Carlow Town,Southern,Settlement,9.5,1525
County,Rent Price,2022,a. All bedrooms,Carlow Town,Carlow Town,Southern,Settlement,1071.42,1526
County,Annual Change,2022,a. All bedrooms,zp. Wexford,Wexford,Southern,County,10.9,1552
County,Rent Price,2022,a. All bedrooms,zp. Wexford,Wexford,Southern,County,905.17,1553
County,Annual Change,2022,a. All bedrooms,Clonakilty,Clonakilty,Southern,Settlement,9.6,1585
County,Rent Price,2022,a. All bedrooms,Clonakilty,Clonakilty,Southern,Settlement,995.03,1586
County,Annual Change,2022,a. All bedrooms,Swords,Swords,Eastern & Midland,Settlement,4.5,1630
County,Rent Price,2022,a. All bedrooms,Swords,Swords,Eastern & Midland,Settlement,1682.68,1634
County,Annual Change,2022,a. All bedrooms,Portlaoise,Portlaoise,Eastern & Midland,Settlement,4.7,1649
County,Annual Change,2022,a. All bedrooms,Ballinasloe,Ballinasloe,Northern & Western,Settlement,6.1,1654
County,Rent Price,2022,a. All bedrooms,Portlaoise,Portlaoise,Eastern & Midland,Settlement,1012.12,1655
County,Annual Change,2022,a. All bedrooms,Dundalk,Dundalk,Eastern & Midland,Settlement,4.4,1675
County,Rent Price,2022,a. All bedrooms,Dundalk,Dundalk,Eastern & Midland,Settlement,1141.91,1676
County,Annual Change,2022,a. All bedrooms,Ballina,Ballina,Northern & Western,Settlement,10,1704
County,Rent Price,2022,a. All bedrooms,Ballina,Ballina,Northern & Western,Settlement,741.89,1705
County,Rent Price,2022,a. All bedrooms,Ballinasloe,Ballinasloe,Northern & Western,Settlement,844.79,1706
County,Annual Change,2022,a. All bedrooms,Killarney,Killarney,Southern,Settlement,10.2,1709
County,Rent Price,2022,a. All bedrooms,Killarney,Killarney,Southern,Settlement,1074.79,1713
County,Annual Change,2022,a. All bedrooms,Maynooth,Maynooth,Eastern & Midland,Settlement,3.6,1761
County,Annual Change,2022,a. All bedrooms,Newcastle West,Newcastle West,Southern,Settlement,10,1767
County,Rent Price,2022,a. All bedrooms,Maynooth,Maynooth,Eastern & Midland,Settlement,1714.37,1768
County,Rent Price,2022,a. All bedrooms,Newcastle West,Newcastle West,Southern,Settlement,820.37,1774
County,Annual Change,2022,a. All bedrooms,Naas,Naas,Eastern & Midland,Settlement,8.4,1808
County,Rent Price,2022,a. All bedrooms,Naas,Naas,Eastern & Midland,Settlement,1566.17,1809
County,Annual Change,2022,a. All bedrooms,Kilkenny City,Kilkenny City,Southern,Settlement,0,1831
County,Rent Price,2022,a. All bedrooms,Kilkenny City,Kilkenny City,Southern,Settlement,1041.62,1832
County,Annual Change,2022,a. All bedrooms,Carrick-On-Shannon,Carrick-On-Shannon,Northern & Western,Settlement,15.3,1922
County,Rent Price,2022,a. All bedrooms,Carrick-On-Shannon,Carrick-On-Shannon,Northern & Western,Settlement,762.55,1926
County,Annual Change,2022,a. All bedrooms,Tuam,Tuam,Northern & Western,Settlement,8.3,1928
County,Rent Price,2022,a. All bedrooms,Tuam,Tuam,Northern & Western,Settlement,999.96,1932
County,Annual Change,2022,a. All bedrooms,Tralee,Tralee,Southern,Settlement,12.2,1939
County,Rent Price,2022,a. All bedrooms,Tralee,Tralee,Southern,Settlement,893.21,1943
County,Annual Change,2022,a. All bedrooms,Drogheda,Drogheda,Eastern & Midland,Settlement,6.3,1972
County,Rent Price,2022,a. All bedrooms,Drogheda,Drogheda,Eastern & Midland,Settlement,1227.49,1976
County,Annual Change,2022,a. All bedrooms,Dungarvan,Athlone,Eastern & Midland,Settlement,10.9,2019
County,Rent Price,2022,a. All bedrooms,Dungarvan,Athlone,Eastern & Midland,Settlement,1123.78,2020
County,Annual Change,2022,a. All bedrooms,Mullingar,Mullingar,Eastern & Midland,Settlement,7.1,2059
County,Rent Price,2022,a. All bedrooms,Mullingar,Mullingar,Eastern & Midland,Settlement,981.15,2060
County,Annual Change,2022,a. All bedrooms,Sligo Town,Sligo Town,Northern & Western,Settlement,10.5,2068
County,Rent Price,2022,a. All bedrooms,Sligo Town,Sligo Town,Northern & Western,Settlement,914.18,2072
County,Annual Change,2022,a. All bedrooms,Drogheda,Drogheda,Eastern & Midland,Settlement,6.3,2092
County,Rent Price,2022,a. All bedrooms,Drogheda,Drogheda,Eastern & Midland,Settlement,1227.49,2099
County,Annual Change,2022,a. All bedrooms,Clonmel,Nenagh,Southern,Settlement,9.2,2115
County,Rent Price,2022,a. All bedrooms,Clonmel,Nenagh,Southern,Settlement,850.86,2116
County,Annual Change,2022,a. All bedrooms,Nenagh,Dungarvan,Southern,Settlement,10.2,2144
County,Rent Price,2022,a. All bedrooms,Nenagh,Dungarvan,Southern,Settlement,928.79,2145
County,Annual Change,2022,a. All bedrooms,Gorey,Gorey,Eastern & Midland,Settlement,6.7,2178
County,Rent Price,2022,a. All bedrooms,Gorey,Gorey,Eastern & Midland,Settlement,1024.16,2179
County,Annual Change,2022,a. All bedrooms,Ballina,Clonmel,Southern,Settlement,10.9,2226
County,Rent Price,2022,a. All bedrooms,Ballina,Clonmel,Southern,Settlement,911.79,2227
County,Annual Change,2022,a. All bedrooms,Monaghan Town,Monaghan Town,Northern & Western,Settlement,8.3,2265
County,Rent Price,2022,a. All bedrooms,Monaghan Town,Monaghan Town,Northern & Western,Settlement,772.19,2269
County,Annual Change,2022,a. All bedrooms,Roscommon Town,Roscommon Town,Northern & Western,Settlement,8.9,2297
